User ID,Investment Type,Amount per 15 Days,Gross Invested,Platform Fees,Net Invested,Portfolio Value,Total Return,ROI %
1,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
2,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
3,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
4,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
5,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
6,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
7,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
8,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
9,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
10,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
11,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
12,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
13,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
14,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
15,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
16,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
17,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
18,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
19,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
20,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
21,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
22,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
23,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
24,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
25,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
26,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
27,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
28,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
29,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
30,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
31,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
32,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
33,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
34,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
35,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
36,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
37,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
38,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
39,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
40,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
41,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
42,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
43,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
44,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
45,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
46,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
47,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
48,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
49,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
50,$600/15days ($40/day),$600.00,7200.0,144.0,7056.0,7201.469875109002,145.4698751090018,2.061647889866806
51,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
52,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
53,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
54,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
55,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
56,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
57,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
58,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
59,$150/15days ($10/day),$150.00,1800.0,36.0,1764.0,1800.3674687772505,36.36746877725045,2.061647889866806
